timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777917201609,1403,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-2,text,true,,6619,1265,16,16,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=C11DF164E569B062B96C2F2093CD2474,1089,0,473
1777917201609,1096,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-2,,true,,426,609,16,16,https://parabank.parasoft.com/parabank/login.htm,1089,0,473
1777917202708,304,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-2,text,true,,6193,656,16,16,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=C11DF164E569B062B96C2F2093CD2474,303,0,0
1777917201906,1133,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-5,text,true,,6619,1265,16,16,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=B41864B1CAB3C52F2ED99C9866583BA5,813,0,176
1777917201906,813,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-5,,true,,426,609,16,16,https://parabank.parasoft.com/parabank/login.htm,813,0,176
1777917202719,320,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-5,text,true,,6193,656,16,16,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=B41864B1CAB3C52F2ED99C9866583BA5,319,0,0
1777917201806,1303,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-4,text,true,,6619,1265,17,17,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=8009F1DCC7CC5D82251A77647C0E2DFE,943,0,276
1777917201806,943,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-4,,true,,426,609,17,17,https://parabank.parasoft.com/parabank/login.htm,943,0,276
1777917202749,360,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-4,text,true,,6193,656,17,17,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=8009F1DCC7CC5D82251A77647C0E2DFE,360,0,0
1777917201708,1466,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-3,text,true,,6619,1265,17,17,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=BEB39B3E43790DF40167F65F67C18E27,992,0,373
1777917201708,997,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-3,,true,,426,609,17,17,https://parabank.parasoft.com/parabank/login.htm,992,0,373
1777917202708,466,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-3,text,true,,6193,656,17,17,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=BEB39B3E43790DF40167F65F67C18E27,465,0,0
1777917202105,1097,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-7,text,true,,6619,1265,17,17,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=EBF4ED9265A80E67C315508C62E16E9B,740,0,101
1777917202105,740,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-7,,true,,426,609,17,17,https://parabank.parasoft.com/parabank/login.htm,740,0,101
1777917202845,357,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-7,text,true,,6193,656,17,17,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=EBF4ED9265A80E67C315508C62E16E9B,356,0,0
1777917201597,1635,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-1,text,true,,6619,1265,18,18,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=26A4FBF523A81E45C854D5D303440473,1144,0,483
1777917201597,1144,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-1,,true,,426,609,18,18,https://parabank.parasoft.com/parabank/login.htm,1144,0,483
1777917202741,491,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-1,text,true,,6193,656,18,18,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=26A4FBF523A81E45C854D5D303440473,489,0,0
1777917202005,1241,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-6,text,true,,6619,1265,18,18,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=CC99773404E38964D3ADD0E4444CDACD,880,0,103
1777917202005,880,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-6,,true,,426,609,18,18,https://parabank.parasoft.com/parabank/login.htm,880,0,103
1777917202885,361,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-6,text,true,,6193,656,18,18,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=CC99773404E38964D3ADD0E4444CDACD,359,0,0
1777917202205,1086,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-8,text,true,,6619,1265,18,18,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=12584BBAA22ED2084D8C5110B5532489,764,0,102
1777917202205,764,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-8,,true,,426,609,18,18,https://parabank.parasoft.com/parabank/login.htm,764,0,102
1777917202970,321,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-8,text,true,,6193,656,18,18,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=12584BBAA22ED2084D8C5110B5532489,320,0,0
1777917202604,709,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-12,text,true,,6619,1265,19,19,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=42D13EE99E927D4D76AA98A69BCF16B9,413,0,96
1777917202604,413,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-12,,true,,426,609,19,19,https://parabank.parasoft.com/parabank/login.htm,413,0,96
1777917203017,296,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-12,text,true,,6193,656,19,19,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=42D13EE99E927D4D76AA98A69BCF16B9,294,0,0
1777917202404,931,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-10,text,true,,6619,1265,19,19,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=BC0F10F6A1FFC90DA43182400F855193,651,0,102
1777917202404,651,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-10,,true,,426,609,19,19,https://parabank.parasoft.com/parabank/login.htm,651,0,102
1777917203056,279,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-10,text,true,,6193,656,19,19,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=BC0F10F6A1FFC90DA43182400F855193,277,0,0
1777917202308,1273,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-9,text,true,,6619,1265,21,21,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=D81FD84CFCCF23A3661D8C569FF7CED5,1025,0,97
1777917202308,1025,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-9,,true,,426,609,21,21,https://parabank.parasoft.com/parabank/login.htm,1025,0,97
1777917203333,248,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-9,text,true,,6193,656,21,21,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=D81FD84CFCCF23A3661D8C569FF7CED5,247,0,0
1777917203004,753,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-16,text,true,,6619,1265,23,23,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=AFD782F16B1DD7FDB67B384BA6DA0876,394,0,100
1777917203004,394,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-16,,true,,426,609,23,23,https://parabank.parasoft.com/parabank/login.htm,394,0,100
1777917203398,359,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-16,text,true,,6193,656,23,23,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=AFD782F16B1DD7FDB67B384BA6DA0876,358,0,0
1777917202905,861,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-15,text,true,,6619,1265,23,23,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=998F34E4EF9EA1174785D1F00EBBE218,400,0,94
1777917202905,400,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-15,,true,,426,609,23,23,https://parabank.parasoft.com/parabank/login.htm,400,0,94
1777917203306,460,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-15,text,true,,6193,656,23,23,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=998F34E4EF9EA1174785D1F00EBBE218,459,0,0
1777917202506,1284,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-11,text,true,,6619,1265,23,23,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=52683E26BE3ADE5C38B70CB98986EFA1,885,0,105
1777917202506,885,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-11,,true,,426,609,23,23,https://parabank.parasoft.com/parabank/login.htm,885,0,105
1777917203391,399,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-11,text,true,,6193,656,23,23,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=52683E26BE3ADE5C38B70CB98986EFA1,398,0,0
1777917203106,757,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-17,text,true,,6619,1265,24,24,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=C41EF79D6AAF99F461B9B80228586A2E,420,0,102
1777917203106,420,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-17,,true,,426,609,24,24,https://parabank.parasoft.com/parabank/login.htm,420,0,102
1777917203526,337,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-17,text,true,,6193,656,24,24,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=C41EF79D6AAF99F461B9B80228586A2E,336,0,0
1777917202705,1172,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-13,text,true,,6619,1265,24,24,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=DB504DFFAD02E9995A4BB67D4CD020C6,827,0,97
1777917202705,827,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-13,,true,,426,609,24,24,https://parabank.parasoft.com/parabank/login.htm,827,0,97
1777917203532,345,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-13,text,true,,6193,656,24,24,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=DB504DFFAD02E9995A4BB67D4CD020C6,344,0,0
1777917203206,792,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-18,text,true,,6619,1265,25,25,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=71FE0ACF5393F883E9DFC735C42A170C,398,0,98
1777917203206,398,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-18,,true,,426,609,25,25,https://parabank.parasoft.com/parabank/login.htm,398,0,98
1777917203604,394,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-18,text,true,,6193,656,25,25,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=71FE0ACF5393F883E9DFC735C42A170C,393,0,0
1777917202805,1195,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-14,text,true,,6619,1265,25,25,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=4D42679C2E58B2DC29E2D4EEC045A613,843,0,98
1777917202805,843,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-14,,true,,426,609,25,25,https://parabank.parasoft.com/parabank/login.htm,843,0,98
1777917203649,351,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-14,text,true,,6193,656,25,25,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=4D42679C2E58B2DC29E2D4EEC045A613,349,0,0
1777917203305,826,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-19,text,true,,6619,1265,27,27,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=771A557A583A6835D18C6720B4C80CFC,462,0,97
1777917203305,462,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-19,,true,,426,609,27,27,https://parabank.parasoft.com/parabank/login.htm,462,0,97
1777917203767,364,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-19,text,true,,6193,656,27,27,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=771A557A583A6835D18C6720B4C80CFC,364,0,0
1777917203505,751,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-21,text,true,,6619,1265,28,28,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=F382C416494EB885874CBB546C4F96AA,414,0,95
1777917203505,414,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-21,,true,,426,609,28,28,https://parabank.parasoft.com/parabank/login.htm,414,0,95
1777917203921,335,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-21,text,true,,6193,656,28,28,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=F382C416494EB885874CBB546C4F96AA,333,0,0
1777917203805,761,https://parabank.parasoft.com/parabank/login.htm,200,OK,Thread Group 1-24,text,true,,6619,1265,31,31,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=4646AB835073C0DD0E1F28D8B44FA472,419,0,94
1777917203805,419,https://parabank.parasoft.com/parabank/login.htm-0,302,Found,Thread Group 1-24,,true,,426,609,31,31,https://parabank.parasoft.com/parabank/login.htm,419,0,94
1777917204225,341,https://parabank.parasoft.com/parabank/login.htm-1,200,OK,Thread Group 1-24,text,true,,6193,656,31,31,https://parabank.parasoft.com/parabank/overview.htm;jsessionid=4646AB835073C0DD0E1F28D8B44FA472,339,0,0
